time,tcc_auto,tcc_empi
2026-04-07 07:06:04,0.0,0.0
2026-04-07 07:06:19,0.0,0.0
2026-04-07 07:06:34,0.0,0.0
2026-04-07 07:06:49,0.0,0.0
2026-04-07 07:07:04,0.0,0.0
2026-04-07 07:07:19,0.0,0.0
2026-04-07 07:07:34,0.0,0.0
2026-04-07 07:07:49,0.0,0.0
2026-04-07 07:08:04,0.0,0.0
2026-04-07 07:08:19,0.0,0.0
2026-04-07 07:08:34,0.0,0.0
2026-04-07 07:08:49,0.0,0.0
2026-04-07 07:09:04,0.0,0.0
2026-04-07 07:09:19,0.0,0.0
2026-04-07 07:09:34,0.0,0.0
2026-04-07 07:09:49,0.0,0.0
2026-04-07 07:10:04,0.0,0.0
2026-04-07 07:10:19,0.0,0.0
2026-04-07 07:10:34,0.0,0.0
2026-04-07 07:10:49,0.0,0.0
2026-04-07 07:11:04,0.0,0.0
2026-04-07 07:11:19,0.0,0.0
2026-04-07 07:11:34,0.0,0.0
2026-04-07 07:11:49,0.0,0.0
2026-04-07 07:12:04,0.0,0.0
2026-04-07 07:12:19,0.0,0.0
2026-04-07 07:12:34,0.0,0.0
2026-04-07 07:12:49,0.0,0.0
2026-04-07 07:13:04,0.0,0.0
2026-04-07 07:13:19,0.0,0.0
2026-04-07 07:13:34,0.0,0.0
2026-04-07 07:13:49,0.0,0.0
2026-04-07 07:14:04,0.0,0.0
2026-04-07 07:14:19,0.0,0.0
2026-04-07 07:14:34,0.0,0.0
2026-04-07 07:14:49,0.0,0.0
2026-04-07 07:15:04,0.0,0.0
2026-04-07 07:15:19,0.0,0.0
2026-04-07 07:15:34,0.0,0.0
2026-04-07 07:15:49,0.0,0.0
2026-04-07 07:16:04,0.0,0.0
2026-04-07 07:16:19,0.0,0.0
2026-04-07 07:16:34,0.0,0.0
2026-04-07 07:16:49,0.0,0.0
2026-04-07 07:17:04,0.0,0.0
2026-04-07 07:17:19,0.0,0.0
2026-04-07 07:17:34,0.0,0.0
2026-04-07 07:17:49,0.0,0.0
2026-04-07 07:18:04,0.0,0.0
2026-04-07 07:18:19,0.0,0.0
2026-04-07 07:18:34,0.0,0.0
2026-04-07 07:18:49,0.0,0.0
2026-04-07 07:19:04,0.0,0.0
2026-04-07 07:19:19,0.0,0.0
2026-04-07 07:19:34,0.0,0.0
2026-04-07 07:19:49,0.0,0.0
2026-04-07 07:20:04,0.0,0.0
